fid,id,@id,access,access:roof,addr2:street,addr:city,addr:country,addr:district,addr:full,addr:housename,addr:housenumber,addr:place,addr:postcode,addr:province,addr:rt,addr:rw,addr:street,addr:subdistrict,addr:suburb,air_conditioning,alt_name,amenity,architect,backup_generator,barrier,branch,brand,brand:en,brand:ja,brand:wikidata,brand:wikipedia,building,building:condition,building:floor,building:levels,building:levels:underground,building:material,building:roof,building:structure,building:use,building:walls,capacity:persons,changing_table,check_date,check_date:opening_hours,contact:facebook,contact:instagram,contact:phone,description,ele,email,entrance,evacuation_center,fixme,flood_prone,height,industrial,int_name,internet_access,internet_access:fee,key,kitchen:facilities,landuse,layer,level,name,name:en,name:id,name:ja,name:ko,old_name,opening_hours,opening_hours:covid19,operator,operator:type,outdoor_seating,payment:alipay,payment:atome,payment:cash,payment:coins,payment:contactless,payment:credit_cards,payment:dana,payment:debit_cards,payment:gpn_debit,payment:gpn_qris,payment:gpn_qris:ovo,payment:jcb,payment:maestro,payment:mastercard,payment:mastercard_debit,payment:notes,payment:ovo,payment:qris,payment:shopeepay,payment:shopeepay:gpn_qris,payment:visa,payment:visa_contactless,payment:visa_debit,payment:visa_electron,phone,ref:vatin,roof:shape,shelter_type,shop,short_name,smoking,source,start_date,supermarket,toilet:facilities,toilets,toilets:access,toilets:number,toilets:wheelchair,type,water_source,website,wheelchair,wikidata,wikimedia_commons,wikipedia,wikipedia:en,year_of_construction,@geometry,good
25,way/119784539,way/119784539,,,,Jakarta Timur,,,,Plaza Atrium,"135",,"10410",,,,Jalan Senen Raya,,,,,,,,,,,,,,,yes,,,"6",,,concrete,reinforced_masonry,commercial,brick,,,,,,,,,,,,,,,,,,,,,,,,,Atrium Mall,,,,,,Mo-Su 09:30-21:30,,PT. Plaza Adika Lestari,,,,,,,,,,,,,,,,,,,,,,,,,,,"+62 21 385 3985;+62 21 385 6650",,,,mall,,,,1992-08-21,,,,,,,,,https://plazaatrium.com/,,,,,,,center,Keterjangkauan Baik
26,way/119901489,way/119901489,,yes,,Jakarta Timur,,Makasar,"Jalan Pondok Gede No. 15, Kelurahan Pinang Ranti, Kecamatan Makasar, Jakarta Timur 13650",Tamini Square,"15",,"13650",DKI Jakarta,,,Jalan Pondok Gede,Pinang Ranti,,yes,,,,yes,,,,,,,,retail,good,ceramics,"5",,,concrete,confined_masonry,commercial,concrete,>500,,,,,,,,,,,,,,,,,,,,,,,,Tamini Square,,,,,,Mo-Su 10:00-22:00,,Lippo Group,,,,,,,,,,,,,,,,,,,,,,,,,,,"+62 21 87785888;+62 21 87785999",,,,mall,,,,2006-07-29,,,,,,,,,,,,,,,,center,Keterjangkauan Baik
27,way/120827484,way/120827484,,,,Central Jakarta,,,,,"121",,"10220",,,,Jalan KH. Mas Mansyur,,,,,,,,,,,,,,,retail,,,"5",,,concrete,confined_masonry,commercial,brick,,,,,,,,,,,,,,,"30.3",,,,,,,,,,CityWalk Sudirman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,no,,,http://www.citywalksudirman.com/,yes,,,,,,center,Keterjangkauan Buruk
28,way/120908549,way/120908549,,,,Jakarta Pusat,,,,Jakarta Design Center,Kav. 53,,"10260",,,,"Jl. Gatot Subroto, Slipi",,,,,,,,,,,,,,,yes,,,"8",,,concrete,reinforced_masonry,commercial,brick,,,,,,,,,,,,,,,,,,,,,,,,,Jakarta Design Center,,JDC,,,,"Mo-Su,PH 10:00-22:00",,PT. Cipta Paramula Sejati,,,,,,,,,,,,,,,,,,,,,,,,,,,"+62 21 5495 130, +62 21 5495 116",,,,mall,,,,1990-04-16,,,yes,,,,,,https://www.j-d-c.com/,yes,,,,,,center,Keterjangkauan Baik
29,way/120911811,way/120911811,,,,West Jakarta,,,,,No.Kav 17-18,,"11480",,,,Jalan Letjen. S. Parman,,,,,,,,,,,,,,,yes,,,"5",,,concrete,reinforced_masonry,commercial,brick,,,,,,,,,,,,,,,,,,,,,,,,,Plaza Slipi Jaya,,,,,,"Mo-Su,PH 10:00-22:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,center,Keterjangkauan Baik
30,way/121129218,way/121129218,,,,Jakarta Selatan,,Setiabudi,,,"62",,,DKI Jakarta,,,Jalan Hajjah R. Rasuna Said,,,,,,,,,,,,,,,yes,,,"5",,,concrete,confined_masonry,commercial,brick,,,,,,,,,,,,,,,,,,,,,,,,,Setiabudi One,,,,,,Mo-Su 08:00-22:00,,Jakarta Setiabudi Internasional,,,,,yes,,,yes,,yes,,,,,,,,,,yes,,,,,,,+62 21 522 0568,,,,mall,,,,"1978",,,,,,,,,,,,,,,,center,Keterjangkauan Baik
31,way/121158386,way/121158386,,,,DKI Jakarta,,,,ITC Kuningan,,,"12940",,,,Jalan Prof. Dr. Satrio,,,,,,,,,,,,,,,yes,,,"6",,,concrete,confined_masonry,commercial,brick,,,,,,,+62 021 57933877,,,,,,,,,,,,,,,,,,ITC Kuningan,,,,,,,,PT. Perwita Margasakti,,,,,,,,,,,,,,,,,,,,,,,,,,,+62 021 57933888,,,,mall,,,,"2004",,,,,,,,,,,,,,,,center,Keterjangkauan Baik
32,way/121158396,way/121158396,,,,DKI Jakarta,,,,Mall Ambasador,,,"12940",,,,Jalan Prof. Dr. Satrio,,,,,,,,,,,,,,,yes,,,"6",,,concrete,confined_masonry,commercial,brick,,,,,,,,,,,,,,,,,,,,,,,,,Mall Ambasador,,,,,,,,PT. Perwita Margasakti,,,,,,,,,,,,,,,,,,,,,,,,,,,"+62 21 5766 688, +62 21 5762 828",,,,mall,,,,"1990",,,,,,,,,,,,,,,,center,Keterjangkauan Baik
33,way/121261411,way/121261411,,,,Jakarta Selatan,,,,Cilandak Town Square,Kav. 17,,"12430",,,,"Jalan TB Simatupang, Cilandak Barat",,,,,,,,,,,,,,,yes,,,"4",,,concrete,confined_masonry,commercial,brick,,,,,,,,,,,,,,,,,,,,,,,,,Citos / Cilandak Town Square,,,,,,,,PT. Graha Megaria Raya,,,,,,,,,,,,,,,,,,,,,,,,,,,"+62 21 7592 0222, +62 21 7592 0210",,,,mall,,,,,,,,,,,,,https://www.townsquare.co.id/,,,,,,,center,Keterjangkauan Buruk
34,way/121370647,way/121370647,,,,East Jakarta,,,,Poins Square,"1",,"12440",,,,"Jalan R.A Kartini Simatupang, Lebak Bulus",,,,,,,,,,,,,,,yes,,,"23",,,concrete,confined_masonry,commercial,brick,,,,,,,,,,,,,,,,,,,,,,,,,Poins Square,,,,,,,,PT. Menara Prambanan,,,,,,,,,,,,,,,,,,,,,,,,,,,+62 21 7691 018,,,,mall,,,,"2007",,,,,,,,,www.poinsquare.com,,,,,,,center,Keterjangkauan Baik
35,way/121551453,way/121551453,,,,DKI Jakarta,,,,Golden Truly,No.59,,"10610",,,,Jalan Gunung Sahari,,,,,,,,,,,,,,,yes,,,"5",,,asbestos,reinforced_masonry,commercial,brick,,,,,,,,,,,,,,,,,,,,,,,,,Mall Golden Truly,,,,,,,,PT. Golden Retailindo,,,,,,,,,,,,,,,,,,,,,,,,,,,"+62 21 421 6989, +62 21 421 2951",,,,mall,,,,,,,,,,,,,,,,,,,,center,Keterjangkauan Baik
36,way/121551455,way/121551455,,,,Jakarta Pusat,,,,ITC Mangga Dua,,,"14430",,,,Jalan Mangga Dua Raya,,,,,,,,,,,,,,,yes,,,"5",,,concrete,confined_masonry,commercial,brick,,,,,,,,,,,,,,,,,,,,,,,,,ITC Mangga Dua,,,,,,,,PT. Jakarta Sinar Intertrade,,,,,,,,,,,,,,,,,,,,,,,,,,,"+62 21 601 7771, +62 21 601 7036",,,,mall,,,,,,,,,,,,,,,,,,,,center,Keterjangkauan Baik
37,way/121706055,way/121706055,,,,,,,,,,,"10230",,,,Jl. K.H. Mas Mansyur,,,,,,,,,,,,,,,yes,,,"11",,,concrete,confined_masonry,commercial,brick,,,,,,,,,,,,,,,,,,,,,,,,,Thamrin City,,,,,,,,Agung Podomoro Land,,,,,,,,,,,,,,,,,,,,,,,,,,,"+62 21 3900 988, +62 21 3917 879",,,,mall,,,,"2008",,,,,,,,,,,,,,,,center,Keterjangkauan Baik
38,way/121706061,way/121706061,,,,,,,,,,,,,,,,,,,,,,,,,Metro,,,Q13610282,en:Metro Cash and Carry,yes,,,"4",,,concrete,confined_masonry,commercial,brick,,,,,,,,,,,,,,,,,,,,,,,,,Metro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wholesale,,,,,,,,,,,,,,,,,,,,center,Keterjangkauan Buruk
39,way/121716529,way/121716529,,,,Jakarta Pusat,,,,ITC Roxy Mas,"125",,,,,,"Jalan KH. Hasyim Hashari B, Roxy",,,,,,,,,,,,,,,yes,,,"10",,,concrete,confined_masonry,commercial,brick,,,,,,,,,,,,,,,,,,,,,,,,,ITC Roxy Mas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+62 21 6305 001, +62 21 6305 002",,,,mall,,,,"1992",,,,,,,,,,,Q5974722,Category:ITC Roxy Mas,en:ITC Roxy Mas,ITC Roxy Mas,,center,Keterjangkauan Buruk
40,way/121827997,way/121827997,,no,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,mall,good,ceramics,"4",,,concrete,confined_masonry,commercial,brick,lebih dari 500,,,,,,,,,,,,,,,,,,,,,,,,Metro Sunter Plaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,center,Keterjangkauan Baik
41,way/121870309,way/121870309,,no,,,,,Jalan Bulungan,Plaza Blok M,"76",,"12130",,,,"Jalan Bulungan, Kebayoran baru",,,,,,,yes,,,,,,,,retail,good,ceramics,"11",,,tin,confined_masonry,,glass,>500,,,,,,,,,,,,,,,,,,,,,,,,Plaza Blok M,,,,,,Mo-Su 10:00-22:00,,Pakuwon Jati,,,,,,,,,,,,,,,,,,,,,,,,,,,"+62 21 7209 288, +62 21 7209 141",,,,mall,,,,1991-05-30,,,,,,,,,https://www.pakuwon.com/,,,,,,,center,Keterjangkauan Baik
42,way/121919489,way/121919489,,,,Jakarta Utara,,,,Mall of Indonesia,,,"14240",,,,Jl. Raya Boulevard Barat Kelapa Gading Square,,,yes,,,,,,,,,,,,retail,,,"8",,,concrete,confined_masonry,commercial,brick,,,,,,,,,,,,,,,,,,,,,,,"1",,Mall of Indonesia,,,,,,Mo-Su 10:00-22:00,,Agung Sedayu Group,,,,,,,,,,,,,,,,,,,,,,,,,,,"+62 21 5486 7888, +62 21 4586 7889",,,,mall,,,,2008-09-01,,,,,,,,,https://mallofindonesia.com/,,Q6743994,,en:Mall of Indonesia,,,center,Keterjangkauan Buruk
43,way/121919510,way/121919510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,"4",,,asbestos,confined_masonry,commercial,brick,,,,,,,,,,,,,,,,,,,,,,,,,Kelapa Gading Trade Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,center,Keterjangkauan Buruk
44,way/121986296,way/121986296,,,,Jakarta Barat,,,,Lindeteves Trade Center,"127",,"11180",,,,Jalan Hayam Wuruk,,,,,,,,,,,,,,,yes,,,"13",,,concrete,confined_masonry,commercial,brick,,,,,,,,,,,,yes,,,,,,,,,,,,,Lindeteves Trade Center,,,,,,,,PT. Citra Gemilang Nusantara,,,,,,,,,,,,,,,,,,,,,,,,,,,"+62 21 6231 7000, +62 21 6231 7001",,,,mall,,,,,,yes,,,,,,,https://www.ltc-glodok.com/,,,,,,,center,Keterjangkauan Baik
45,way/121986316,way/121986316,,,,Jakarta Pusat,,,,Plaza Glodok,,,"11180",,,,Jalan Pinangsia Raya,,,,,,,,,,,,,,,yes,,,"9",,,asbestos,confined_masonry,commercial,brick,,,,,,,+62 021 6590628,,,,,,,,,,,,,,,,,,Glodok Plaza,,,,,,,,PT. TCP Internusa,,,,,,,,,,,,,,,,,,,,,,,,,,,+62 021 6280888,,,,mall,,,,2002-04-17,,,,,,,,,,,,,,,,center,Keterjangkauan Baik
46,way/121986319,way/121986319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,"4",,,asbestos,confined_masonry,commercial,brick,,,,,,,,,,,,,,,,,,,,,,,,,Plaza Orion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department_store,,,,,,,,,,,,,,,,,,,,center,Keterjangkauan Baik
47,way/122152128,way/122152128,,,,"Kuningan Barat, Mampang Prapatan,",,,,,,,"12720",,,,Jalan Jendral Gatot Subroto No.42,,,,,,,,,,,,,,,yes,,,"11",,,concrete,confined_masonry,commercial,brick,,,,,,,,,,,,,,,,,,,,,,,,,City Plaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,center,Keterjangkauan Baik
48,way/123317411,way/123317411,,no,,DKI Jakarta,,,Jalan Teratai Putih Raya,,,,,,,,,,,,,,,,,,,,,,,supermarket,good,ceramics,"3",,,concrete,confined_masonry,,brick,>500,,,,,,,,,,,,,,,,,,,,,,,,Ramayana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department_store,,,HOT_InAWARESurvey_2017,,,,,,,,,,,,,,,,,center,Keterjangkauan Buruk
